round,client,score
0,client_0,0.0000
0,client_1,0.0000
0,client_2,0.0000
1,client_0,0.0000
1,client_1,0.0000
1,client_2,0.0000
2,client_0,3.5022
2,client_1,3.5003
2,client_2,3.5057
3,client_0,3.5009
3,client_1,3.5009
3,client_2,3.5010
4,client_0,2.8795
4,client_1,3.5058
4,client_2,2.2045
5,client_0,2.3523
5,client_1,3.5004
5,client_2,3.5028
6,client_0,3.5011
6,client_1,2.1931
6,client_2,3.2379
7,client_0,1.8743
7,client_1,1.3557
7,client_2,1.4242
8,client_0,1.0400
8,client_1,1.0652
8,client_2,1.0867
9,client_0,0.7321
9,client_1,0.6941
9,client_2,1.7831
10,client_0,1.9894
10,client_1,0.7535
10,client_2,0.9747
11,client_0,0.8485
11,client_1,1.5044
11,client_2,2.8005
12,client_0,0.9290
12,client_1,0.8664
12,client_2,0.8396
13,client_0,0.8343
13,client_1,3.1293
13,client_2,0.8663
14,client_0,0.5879
14,client_1,0.8519
14,client_2,0.6909
15,client_0,3.5055
15,client_1,1.7578
15,client_2,1.5772
16,client_0,2.7407
16,client_1,3.5068
16,client_2,1.3171
17,client_0,2.8195
17,client_1,3.1186
17,client_2,3.5068
18,client_0,3.5091
18,client_1,2.8360
18,client_2,2.0938
19,client_0,2.6011
19,client_1,3.5076
19,client_2,2.1237
20,client_0,3.2123
20,client_1,2.8041
20,client_2,3.5055
21,client_0,3.5080
21,client_1,2.9105
21,client_2,1.2425
22,client_0,3.5004
22,client_1,3.5088
22,client_2,1.4206
23,client_0,3.5003
23,client_1,3.5008
23,client_2,2.8328
24,client_0,3.5004
24,client_1,2.8488
24,client_2,1.2000
25,client_0,3.5115
25,client_1,3.5010
25,client_2,1.0490
26,client_0,3.5008
26,client_1,3.5014
26,client_2,3.5097
27,client_0,3.5119
27,client_1,3.5013
27,client_2,0.9874
28,client_0,3.5147
28,client_1,3.5014
28,client_2,0.7194
29,client_0,3.5020
29,client_1,3.5015
29,client_2,3.5151
