round,client,score
0,client_0,0.0000
0,client_1,0.0000
0,client_2,0.0000
1,client_0,0.0000
1,client_1,0.0000
1,client_2,0.0000
2,client_0,3.5010
2,client_1,3.5070
2,client_2,3.5022
3,client_0,3.5002
3,client_1,3.4638
3,client_2,3.5003
4,client_0,3.5010
4,client_1,0.9554
4,client_2,0.6337
5,client_0,1.0138
5,client_1,3.5004
5,client_2,2.2847
6,client_0,0.7986
6,client_1,1.7687
6,client_2,1.2700
7,client_0,0.4134
7,client_1,0.8272
7,client_2,1.4791
8,client_0,0.6405
8,client_1,0.4871
8,client_2,0.5448
9,client_0,0.3474
9,client_1,0.5011
9,client_2,0.3237
10,client_0,1.1273
10,client_1,0.5682
10,client_2,0.6127
11,client_0,0.3041
11,client_1,0.6862
11,client_2,0.7284
12,client_0,0.5230
12,client_1,0.5250
12,client_2,0.2886
13,client_0,0.5060
13,client_1,0.4136
13,client_2,0.3803
14,client_0,0.2198
14,client_1,0.4069
14,client_2,0.5346
15,client_0,0.3959
15,client_1,0.3107
15,client_2,0.1805
16,client_0,0.1967
16,client_1,0.6122
16,client_2,0.5692
17,client_0,0.4062
17,client_1,0.4412
17,client_2,0.4782
18,client_0,0.3562
18,client_1,0.2899
18,client_2,0.4335
19,client_0,0.3467
19,client_1,0.3557
19,client_2,0.2985
